"2020-2021 UC San Diego Men's Basketball
Overall Statistics (as of Mar 11, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Record: 7-10   Conf: 0-0   Home: 7-3   Away: 0-7   Neutral: 0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,GP-GS,,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
Rebounds Margin,,-8.3,,,–,,,,,02/26/21,,,,at UC Irvine,,,,,L,,,,55-80,,,,0,,,
ASSISTS,,294,,,263,,,,,02/27/21,,,,at UC Irvine,,,,,L,,,,64-75,,,,0,,,
Assists Per Game,,17.3,,,15.5,,,,,03/05/21,,,,CAL ST. FULLERTON,,,,,W,,,,89-85,,,,0,,,
TURNOVERS,,225,,,239,,,,,03/06/21,,,,CAL ST. FULLERTON,,,,,W,,,,85-78,,,,0,,,
Turnovers Per Game,,13.2,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers Margin,,0.9,,,–,,,,,* = Conference game,,,,,,,,,,,,,,,,,,,,
Assist/Turnover Ratio,,1.3,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
STEALS,,116,,,117,,,,,,,,,,,,,,,,,,,,,,,,,
Steals Per Game,,6.8,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCKS,,37,,,43,,,,,,,,,,,,,,,,,,,,,,,,,
Blocks Per Game,,2.2,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
ATTENDANCE,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Dates/Avg Per Date,,10-0,,,7-0,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral Site #/Avg,,–,,,0-0,,,,,,,,,,,,,,,,,,,,,,,,,
Score by Periods,,1st,2nd,,OT,,Total,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,547,655,,12,,1214,,,,,,,,,,,,,,,,,,,,,,,
Opponents,,549,666,,11,,1226,,,,,,,,,,,,,,,,,,,,,,,
