Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2015,9,Kameron Cooper,MB,5-10,,,Sr.,"Sacramento, CA / Inderkum HS"
2015,10,Amanda Colla,L/OH,5-10,,,So.,"Carlsbad, CA / San Dieguito Academy"
2015,11,Kayla Evans,L,5-10,,,Fr.,"San Diego, Calif. / Del Norte HS"
2015,12,Rebecca Seaberry,MB,6-0,,,So.,"Los Gatos, CA / Torrey Pines HS"
2015,13,Danielle Dahle,OH,6-1,,,Sr.,"La Mesa, CA / Grossmont HS"
2015,17,Morgan Kissick,OH/OPP,5-11,,,Fr.,"Temecula, Calif. / Great Oak HS"
2015,19,Alyssa McNeely,MB,6-0,,,So.,"The Woodlands, TX / The Woodlands College Park HS"
2015,22,Meagan Wright,OH/MB,6-0,,,Jr.,"Bonita, CA / Bonita Vista HS"
2015,24,Molly Dalziel,OH,5-9,,,Fr.,"Lafayette, Calif. / Acalanes HS"
2016,1,Shaelyn Perez,OH/OPP,5-8,,,Sr.,"Temecula, CA / Great Oak HS"
2016,3,Marie Paris,S,6-0,,,Fr.,"San Clemente, CA / San Clemente HS"
2016,4,Emily Kimball,OPP,6-1,,,Fr.,"Encinitas, Calif. / San Dieguito Academy"
2016,5,Lindsey Chun,L,5-3,,,Fr.,"Honolulu, HI / Punahou School"
2016,6,Jessica Rieble,MB,6-3,,,Fr.,"Pleasanton, Calif. / Amador Valley HS"
2016,7,Rachel Linden,S,6-0,,,Jr.,"Walnut Creek, CA / Las Lomas HS"
2016,8,Simone Froley,OPP,6-1,,,Fr.,"Half Moon Bay, CA / Waldorf HS"
2016,9,Molly Dalziel,OH,5-9,,,So.,"Lafayette, Calif. / Acalanes HS"
2016,10,Amanda Colla,L/OH,5-10,,,Jr.,"Carlsbad, CA / San Dieguito Academy"
2016,11,Kayla Evans,L,5-10,,,So.,"San Diego, Calif. / Del Norte HS"
2016,12,Rebecca Seaberry,MB,6-0,,,Jr.,"Los Gatos, CA / Torrey Pines HS"
2016,15,Alyson Penrose,L,5-4,,,Fr.,"Clovis, Calif. / Clovis North HS"
2016,16,Allison Tiegs,MB,5-11,,,So.,"Burbank, Calif. / Burbank HS"
2016,17,Morgan Kissick,OH/OPP,5-11,,,So.,"Temecula, Calif. / Great Oak HS"
2016,19,Jessyca Beksa,OH,6-2,,,Fr.,"Santa Barbara, CA / Santa Barbara HS"
2016,22,Meagan Wright,OH/MB,6-0,,,Sr.,"Bonita, CA / Bonita Vista HS"
2016,24,Katie Rademacher,OH,6-1,,,Jr.,"Encinitas, CA / San Marcos HS"
2017,3,Marie Paris,S,6-0,,,So.,"San Clemente, CA / San Clemente HS"
2017,4,Emily Kimball,OPP,6-1,,,So.,"Encinitas, Calif. / San Dieguito Academy"
2017,5,Lindsey Chun,L,5-3,,,So.,"Honolulu, HI / Punahou School"
2017,6,Jessica Rieble,MB,6-3,,,So.,"Pleasanton, Calif. / Amador Valley HS"
2017,7,Rachel Linden,S,6-0,,,Sr.,"Walnut Creek, CA / Las Lomas HS"
2017,8,Micah Hammond,MB,6-1,,,Jr.,"Torrance, Calif. / North HS"
2017,9,Molly Dalziel,OH,5-9,,,Jr.,"Lafayette, Calif. / Acalanes HS"
2017,10,Amanda Colla,L/OH,5-10,,,Sr.,"Carlsbad, CA / San Dieguito Academy"
2017,11,Kayla Evans,L,5-10,,,Jr.,"San Diego, Calif. / Del Norte HS"
2017,12,Rebecca Seaberry,MB,6-0,,,Sr.,"Los Gatos, CA / Torrey Pines HS"
2017,15,Alyson Penrose,L,5-4,,,So.,"Clovis, Calif. / Clovis North HS"
2017,16,Allison Tiegs,MB,5-11,,,Jr.,"Burbank, Calif. / Burbank HS"
2017,17,Morgan Kissick,OH/OPP,5-11,,,Jr.,"Temecula, Calif. / Great Oak HS"
2017,19,Jessyca Beksa,OH,6-2,,,So.,"Santa Barbara, CA / Santa Barbara HS"
2017,22,Mary Bagshaw,S,5-8,,,Fr.,"La Verne, Calif. / Rancho Cucamonga HS"
2017,24,Julia Jackson,MB,6-2,,,Fr.,"Huntington Beach, Calif. / Huntington Beach HS"
2018,1,Susanna Limb,L,5-7,,,Fr.,"Palo Alto, Calif. / Palo Alto HS"
2018,2,Brie Severino,S,6-0,,,Fr.,"Del Mar, Calif. / Torrey Pines HS"
2018,3,Rebecca Whitney,OH,5-10,,,Fr.,"Vista, Calif. / Vista HS"
2018,4,Emily Kimball,OPP,6-1,,,Jr.,"Encinitas, Calif. / San Dieguito Academy"
2018,6,Jessica Rieble,MB,6-3,,,Jr.,"Pleasanton, Calif. / Amador Valley HS"
2018,7,Claudia Mathews,MB,5-11,,,Jr.,"Encinitas, Calif. / La Costa Canyon HS"
2018,8,Micah Hammond,MB,6-1,,,Sr.,"Torrance, Calif. / North HS"
2018,9,Molly Dalziel,OH,5-9,,,Sr.,"Lafayette, Calif. / Acalanes HS"
2018,11,Kayla Evans,L,5-10,,,Sr.,"San Diego, Calif. / Del Norte HS"
2018,12,Gina Cortesi,OH,6-1,,,So.,"Redondo Beach, Calif. / South HS"
2018,14,Mary Bagshaw,S,5-8,,,So.,"La Verne, Calif. / Rancho Cucamonga HS"
2018,15,Alyson Penrose,L,5-4,,,Jr.,"Clovis, Calif. / Clovis North HS"
2018,16,Allison Tiegs,MB,5-11,,,Sr.,"Burbank, Calif. / Burbank HS"
2018,17,Morgan Kissick,OH/OPP,5-11,,,Sr.,"Temecula, Calif. / Great Oak HS"
2018,18,Julia Jackson,MB,6-2,,,So.,"Huntington Beach, Calif. / Huntington Beach HS"
2018,19,Maria Mayhew,S,5-10,,,Fr.,"Naperville, Ill. / Neuqua Valley HS"
2018,21,Sydney Tekstra,OH,6-0,,,Jr.,"Irvine, Calif. / Woodbridge HS"
2018,25,Cindy Tran,OH,6-0,,,Jr.,"Irvine, Calif. / Arnold O. Beckman HS"
2019,1,Susanna Limb,L,5-8,,Business Psychology,So.,"Palo Alto, Calif. / Palo Alto HS"
2019,2,Brie Severino,S,6-0,,Psychology,So.,"Del Mar, Calif. / Torrey Pines HS"
2019,3,Rebecca Whitney,OH,5-10,,Marine Biology,So.,"Vista, Calif. / Vista HS"
2019,5,Sarah Rieble,OH/OPP,6-1,,Urban Studies & Planning,Fr.,"Pleasanton, Calif. / Amador Valley HS"
2019,6,Jessica Rieble,MB,6-3,,Management Science,Sr.,"Pleasanton, Calif. / Amador Valley HS"
2019,7,Claudia Mathews,MB,5-11,,Political Science,Sr.,"Encinitas, Calif. / La Costa Canyon HS"
2019,8,Emily Hubbard,OH,6-0,,Communication,Jr.,"San Diego, Calif. / Santa Fe Christian HS"
2019,9,Trinity Castaneda,OH,6-1,,Economics,So.,"Indio, Calif. / Shadow Hills HS"
2019,10,Isabela Dobra,S,5-7,,Theater,Jr.,"Bucharest, Romania / Colegiul Tehnic Anghel Saligny"
2019,11,Dani Mason,MB/OPP,6-1,,Cognitive Behavioral Neuroscience,Fr.,"Las Vegas, Nev. / The Meadows School"
