Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2019,43,Lonnie Morris,LHP,6-1,,,Fr.,"Anaheim Hills, Calif. / Orange Lutheran HS"
2019,45,Jonah Dipoto,RHP,6-1,,,Sr.,"Newport Beach, CA / Newport Harbor HS"
2019,,Christopher Giovengo,RHP,6-2,,,Fr.,"San Diego, CA / Grossmont HS"
2019,,Matthew Meskin,RHP,6-4,,,Fr.,"Palos Verdes Estates, CA / Palos Verdes Peninsula HS"
2019,,Cory Smith,LHP,6-2,,,Fr.,"Claremont, CA / Claremont HS"
2020,2,Brandon Stewart,OF,5-9,,Psychology,R-Jr.,"Temecula, Calif. / Great Oak HS"
2020,3,Blake Baumgartner,IF,6-1,,Psychology,R-Jr.,"Stevenson Ranch, CA / West Ranch HS"
2020,4,Izaak Martinez,LHP,5-9,,Master of Public Policy,Fr.,"Glendora, Calif. / Glendora HS"
2020,6,Shay Whitcomb,IF,6-3,,International Business,Jr.,"Newbury Park, CA / Newbury Park HS"
2020,9,Everett Lau,IF,5-9,,Communications,Sr.,"Waipahu, HI / Iolani HS"
2020,10,Michael Fuhrman,IF,5-9,,Psychology,So.,"Rolling Hills Estates, Calif. / Palos Verdes Peninsula HS"
2020,12,Jo Bynum,1B/OF,6-3,,Intl Studies-Intl Business,Jr.,"Santa Rosa, CA / Maria Carrillo HS"
2020,13,Ryan McNally,UTL,5-11,,Economics,So.,"Moraga, Calif. / Campolindo HS"
2020,14,Devon Hawks,IF,5-9,,History,Fr.,"Temecula, Calif. / Temecula Valley HS"
2020,15,"Logan White, Jr.",RHP,6-0,,International Business,R-So.,"Gilbert, AZ / Mountain Pointe HS"
2020,16,Tyler Weiner,OF,6-3,,Cognitive Behavioral Neuroscience,Fr.,"Murrieta, Calif. / Murrieta Valley HS"
2020,17,Cole Dale,RHP,6-2,,Cognitive Behavioral Neuroscience,Fr.,"Los Angeles, Calif. / Maranatha HS"
2020,18,Luke Glascoe,UTL,5-10,,Cognitive Sciences,Fr.,"Huntington Beach, Calif. / Huntington Beach HS"
2020,19,Lonnie Morris,LHP,6-1,,General Biology,So.,"Anaheim Hills, Calif. / Orange Lutheran HS"
2020,20,Aaron Kim,C,6-1,,Communication,R-Jr.,"Orange, CA / Orange Lutheran HS"
2020,21,Mark Quinby,RHP,6-2,,Cognitive Science,R-Sr.,"Gilroy, CA / Valley Christian HS"
2020,22,Noah Conlon,RHP,6-0,,Finance,Jr.,"Placentia, Calif. / El Dorado HS"
2020,23,Anthony Lucchetti,1B/OF,6-1,,Political Science - Political Theory,Jr.,"Linden, Calif. / Linden HS"
2020,24,Brandon Weed,RHP,6-0,,International Business,Sr.,"Lemon Grove, CA / Grossmont HS"
2020,25,Luke O'Brien,IF,5-8,,Communications,Jr.,"Danville, CA / De La Salle HS"
2020,26,Nick Kitzmann,C,6-2,,Structural Engineering,R-Sr.,"Solvang, CA / Santa Ynez Valley Union HS"
2020,27,Zach Tresemer,RHP,6-2,,Sociology,R-Jr.,"Elk Grove, CA / Franklin HS"
2020,28,Luke Mattson,RHP,6-1,,Communication,Sr.,"Orange, CA / Orange Lutheran HS"
2020,29,Blake FitzGerald,C/IF,6-0,,Political Science,So.,"Mission Viejo, Calif. / Capistrano Valley HS"
2020,30,Aren Alvarez,RHP,6-0,,Public Health,Fr.,"Rancho Cucamonga, Calif. / Los Osos HS"
2020,31,Jack Tomlinson,OF,6-0,,Undeclared,Fr.,"Gilroy, CA / Christopher HS"
2020,32,Jacob Dobmeier,RHP,6-5,,Undeclared,Fr.,"Corvallis, OR / Newport HS"
2020,33,Cameron Leonard,RHP,6-4,,Psychology,Jr.,"Hemet, CA / Hemet HS"
2020,34,Marc Filia,C/OF,6-2,,Real Estate Development,Fr.,"Irvine, Calif. / Irvine HS"
2020,35,Blaine Jarvis,RHP,6-2,,Communication,R-Sr.,"Walnut Creek, CA / Las Lomas HS"
2020,40,Michael Mitchell,RHP,6-4,,International Business,So.,"Santa Cruz, Calif. / Bellarmine College Prep"
2020,41,Chris Fung,UTL,5-9,,Real Estate Development,So.,"Foster City, Calif. / Junipero Serra HS"
2020,43,Mason King,IF,5-9,,Undeclared,Fr.,"Hughson, CA / Turlock HS"
2020,44,Chris Gilmartin,LHP,6-3,,Master of Finance,Fr.,"Murrieta, Calif. / Murrieta Valley HS"
2020,45,Jalen Fejeran,RHP/IF,5-10,,Electrical Engineer,Fr.,"Chula Vista, Calif. / Eastlake High"
2020,47,Alec Bruce,IF,6-0,,Oceanic & Atmospheric Sciences,Fr.,"Chula Vista, CA / Bonita Vista Senior High"
2020,48,Zachary Gonsiorowski,LHP,6-0,,Intl Studies-Intl Business,Fr.,"Granite Bay, CA / Granite Bay HS"
2021,2,Brandon Stewart,OF,5-10,,Psychology,R-Sr.,"Temecula, Calif. / Great Oak HS"
2021,3,Blake Baumgartner,INF,6-0,,Psychology,R-Sr.,"Stevenson Ranch, CA / West Ranch HS"
2021,4,Izaak Martinez,LHP,5-9,,Master of Public Policy,So.,"Glendora, Calif. / Glendora HS"
2021,6,Jackson Kritsch,INF,5-11,,Professional Accountancy,R-Sr.,"Westlake Village, CA / Westlake HS"
2021,9,Everett Lau,INF,5-9,,Communications,Sr.,"Waipahu, HI / Iolani HS"
2021,10,Michael Fuhrman,INF,5-10,,Psychology,Jr.,"Rolling Hills Estates, Calif. / Palos Verdes Peninsula HS"
2021,11,Paul Gozzo,C,6-2,,Professional Accountancy,R-Jr.,"Berlin, CT / Mark T. Sheehan HS"
2021,12,Jo Bynum,1B/OF,6-3,,Intl Studies-Intl Business,Sr.,"Santa Rosa, CA / Maria Carrillo HS"
2021,13,Ryan McNally,INF,5-11,,Economics,Jr.,"Moraga, Calif. / Campolindo HS"
2021,14,Devon Hawks,INF/OF,5-9,,History,So.,"Temecula, Calif. / Temecula Valley HS"
2021,15,"Logan White, Jr.",RHP/C,6-0,,International Business,R-Jr.,"Gilbert, AZ / Mountain Pointe HS"
2021,16,Tyler Weiner,OF,6-3,,Cognitive Behavioral Neuroscience,So.,"Murrieta, Calif. / Murrieta Valley HS"
2021,17,Cole Dale,RHP,6-2,,Cognitive Behavioral Neuroscience,So.,"Los Angeles, Calif. / Maranatha HS"
2021,18,Luke Glascoe,OF,5-11,,Cognitive Sciences,So.,"Huntington Beach, Calif. / Huntington Beach HS"
