Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2018,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2018,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2018,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2019,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2019,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2019,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2019,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2019,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2019,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2019,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2019,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2019,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2019,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2019,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2019,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2019,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2019,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2019,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2019,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2020,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2020,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2020,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2020,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2020,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2020,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2020,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2020,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2020,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2020,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2020,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2020,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2020,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2020,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2020,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2020,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2021,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2021,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2021,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2021,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2021,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2021,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2021,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2021,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2021,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2021,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2021,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
