Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2016,12,Brijaye Brackett,G,5-8,,,Fr.,"Compton, CA / Serra HS"
2016,13,Joleen Yang,G,5-6,,,So.,"San Francisco, CA / St. Ignatius College Prep"
2016,14,Stephanie Moore,G/F,5-10,,,Fr.,"Merced, CA / Golden Valley HS"
2016,20,Dalayna Sampton,F,6-1,,,Jr.,"Vallejo, CA / Florin HS"
2016,21,Paige Song,G,5-9,,,Jr.,"San Jose, CA / Lynbrook HS"
2016,22,Sydney Sharp,G,5-10,,,Fr.,"North Tustin, CA / Foothill HS"
2016,23,Janae Peterson,F,6-1,,,Jr.,"Lake Elsinore, CA / Temescal Canyon HS"
2016,24,Haley Anderson,G,5-8,,,Sr.,"El Dorado Hills, CA / Oak Ridge HS"
2016,30,Layla Ybarra-Harvey,F,6-1,,,Fr.,"Richmond, Calif. / St. Mary's HS"
2016,32,Gigi Olelewe,F,6-0,,,Jr.,"Agoura Hills, CA / Agoura HS"
2016,33,Mikayla Williams,F,6-1,,,R-Fr.,"Meath Park, SK, Canada / Great Oak HS"
2016,35,Kristen Vrcelj,F,5-10,,,Fr.,"Sydney, Australia / Redlands School"
2016,40,Shandiin Armao,F,5-10,,,So.,"Winslow, AZ / Winslow HS"
2017,2,Marcella Hughes,G,5-5,,,Jr.,"Martinez, CA / Carondelet HS"
2017,4,Emily Cangelosi,G,5-9,,,Fr.,"Agoura Hills, Calif. / Agoura HS"
2017,10,Rebecca Williams,F,6-1,,,Jr.,"Esparto, CA / Woodland Christian HS"
2017,11,Taylor Tanita,G,5-4,,,Sr.,"Culver City, CA / Culver City HS"
2017,12,Kristen Vrcelj,F,5-10,,,So.,"Sydney, Australia / Redlands School"
2017,13,Joleen Yang,G,5-6,,,Jr.,"San Francisco, CA / St. Ignatius College Prep"
2017,14,Stephanie Moore,G/F,5-10,,,So.,"Merced, CA / Golden Valley HS"
2017,21,Paige Song,G,5-9,,,Sr.,"San Jose, CA / Lynbrook HS"
2017,22,Sydney Sharp,G,5-10,,,So.,"North Tustin, CA / Foothill HS"
2017,24,Dalayna Sampton,F,6-1,,,Sr.,"Vallejo, CA / Florin HS"
2017,30,Layla Ybarra-Harvey,F,6-1,,,R-Fr.,"Richmond, Calif. / St. Mary's HS"
2017,31,Kayla Sato,G,5-8,,,Jr.,"Torrance, CA / West Torrance HS"
2017,33,Mikayla Williams,F,6-1,,,So.,"Meath Park, SK, Canada / Great Oak HS"
2017,40,Shandiin Armao,F,5-10,,,Jr.,"Winslow, AZ / Winslow HS"
2018,4,Emily Cangelosi,G,5-9,,,Rs.,"Agoura Hills, Calif. / Agoura HS"
2018,10,Haleigh Hatfield,F,6-1,,,Jr.,"Winston-Salem, NC / Mount Tabor HS"
2018,11,Julia Macabuhay,G,5-6,,,Fr.,"Los Angeles, Calif. / La Salle HS"
2018,12,Madison Baxter,G,5-9,,,Fr.,"Pleasanton, Calif. / Foothill HS"
2018,13,Joleen Yang,G,5-6,,,Sr.,"San Francisco, CA / St. Ignatius College Prep"
2018,14,Stephanie Moore,G/F,5-10,,,Jr.,"Merced, CA / Golden Valley HS"
2018,15,Brianna Claros,G,5-5,,,Fr.,"San Francisco, Calif. / Pinewood HS"
2018,21,Kayla Sato,G,5-8,,,Sr.,"Torrance, CA / West Torrance HS"
2018,22,Sydney Sharp,G,5-10,,,Jr.,"North Tustin, CA / Foothill HS"
2018,24,Kendal Ellenbeck,F,6-0,,,Fr.,"Rancho Bernardo, Calif. / La Jolla Country Day"
2018,30,Layla Ybarra-Harvey,F,6-1,,,R-So.,"Richmond, Calif. / St. Mary's HS"
