Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2011,7,William Brown,DRI,6-3,,,Sr.,"Arcadia, CA / Arcadia HS"
2011,8,Jeffrey Jarvis,UTL,6-1,,,Fr.,"Tustin, CA / Mater Dei HS"
2011,9,Lance Curtiss,UTL,6-0,,,Sr.,"Santa Barbara, CA / San Marcos HS"
2011,10,Josh Stiling,DRI,6-4,,,So.,"Beaverton, OR / Southridge HS"
2011,11,Matt Kerchner,2M,6-4,,,Sr.,"Westlake, CA / Westlake HS"
2011,12,Matt Michalko,2M,6-1,,,Fr.,"San Diego, CA / The Bishop's School"
2011,13,Lukas Syka,UTL,6-1,,,So.,"San Diego, CA / Westview HS"
2011,14,Brian Donohoe,UTL,6-0,,,Jr.,"Upland, CA / Damien HS"
2011,15,Chris Barton,DRI,6-0,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2011,16,Shane Troutman,DRI,6-2,,,Fr.,"Corona, CA / Santiago HS"
2011,17,David Higginson,DRI,5-8,,,Fr.,"San Diego, CA / The Bishop's School"
2011,18,Jacob Smith,UTL,6-1,,,Jr.,"Rancho San Diego, CA / Valhalla HS"
2011,19,Tiki Toplak,2M,6-0,,,Fr.,"Huntington Beach, CA / Huntington Beach HS"
2011,20,Alec Williams,DRI,6-0,,,Fr.,"La Verne, CA / Bonita HS"
2011,21,Graham Saber,DRI,5-11,,,Sr.,"Rancho Santa Fe, CA / Santa Fe Christian HS"
2011,22,Matt Rahn,2M,6-0,,,Fr.,"Alamo, CA / Monte Vista HS"
2011,,Kevin Driscoll,UTL,6-1,,,Jr.,"Alamo, CA / De La Salle HS"
2012,1,Nick Michels,GK,6-6,,,Jr.,"Walnut Creek, CA / Las Lomas HS"
2012,1,Cameron Ravanbach,GK,6-3,,,So.,"La Jolla, CA / La Jolla HS"
2012,1,Daniel Schwartz,GK,6-3,,,R-Fr.,"Santa Cruz, CA / Soquel HS"
2012,2,Dan Lorch,2M,6-3,,,So.,"Camarillo, CA / Moorpark HS"
2012,3,John Butler,UTL,6-0,,,Sr.,"Hillsborough, CA / St. Ignatius College Prep"
2012,7,Joe Dietrich,2M,6-2,,,So.,"Lafayette, CA / Acalanes HS"
2012,8,Jeffrey Jarvis,UTL,6-1,,,R-Fr.,"Tustin, CA / Mater Dei HS"
2012,9,Lance Curtiss,UTL,6-0,,,Sr.,"Santa Barbara, CA / San Marcos HS"
2012,10,Josh Stiling,DRI,6-4,,,Jr.,"Beaverton, OR / Southridge HS"
2012,11,Tommy Friedrich,UTL,5-9,,,Jr.,"Carlsbad, CA / Carlsbad HS"
2012,12,Matt Michalko,2M,6-1,,,So.,"San Diego, CA / The Bishop's School"
