Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2020,13,Jake Kosakowski,F,6-6,202,Communication,R-Fr.,"Las Vegas, Nev. / Whitney Young HS"
2020,14,Jake Killingsworth,G,6-5,205,Business Analytics,Gr.,"San Carlos, Calif. / Serra HS"
2020,22,Jace Roquemore,G,6-5,160,Communication,R-Fr.,"Henderson, Nev. / Foothill HS"
2020,23,Kaden Rasheed,G,6-1,185,International Business,Jr.,"Ladera Ranch, Calif. / Santa Margarita HS"
2020,24,John Diener,G,6-5,190,Global Health,R-So.,"Cedarburg, Wis. / Cedarburg HS"
2020,25,Martin Tombe,F,6-6,209,International Business,Sr.,"San Diego, Calif. / St. Augustine HS"
2020,32,Mikey Howell,G,6-3,165,International Business,R-Sr.,"San Marcos, Calif. / San Marcos HS"
2020,33,Trace Ramsey,F,6-7,200,International Business,Jr.,"Valparaiso, Ind. / Valparaiso HS"
2021,0,Lunden Taylor,G,6-3,180,International Business,R-Jr.,"Fresno, Calif. / San Joaquin Memorial HS"
2021,2,Michael Pearson Jr.,G,5-9,160,Public Health,Fr.,"Tracy, Calif. / Modesto Christian HS"
2021,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Fr.,"Hudsonville, Mich. / Bosco Institute"
2021,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-So.,"San Diego, Calif. / Torrey Pines HS"
2021,5,Fallou Cisse,F,6-7,216,Political Science,Fr.,"Thies, Senegal / Prolific Prep (Calif.)"
2021,10,Toni Rocak,F,6-9,220,Business Psychology,Sr.,"Geneva, Switzerland / Phillips Exeter Prep"
2021,11,Matt Gray,F,6-8,230,Education Studies,R-Jr.,"Orange, Australia / Canobolus Rural Tech"
2021,12,Justin Pratt,G,6-3,195,International Business,R-Jr.,"Lafayette, Calif. / De La Salle HS"
2021,13,Jake Kosakowski,F,6-6,200,Communication,R-So.,"Las Vegas, Nev. / Whitney Young HS"
